Easting,Northing,Zone,Region,Longitude,Latitude
1911757,5764126,Tarawera,North-East,176 33 39.03343 E,38 13 00.67189 S
1909487,5765325,Tarawera,North-East,176 32 03.97841 E,38 12 24.66350 S
1908026,5764380,Tarawera,Central,176 31 05.49183 E,38 12 57.06943 S
1905812,5761753,Tarawera,Central,176 29 38.68688 E,38 14 24.86123 S
1905748,5762705,Tarawera,Central,176 29 34.58230 E,38 13 54.10927 S
1906145,5762737,Tarawera,Central,176 29 50.83204 E,38 13 52.58703 S
1907169,5762983,Tarawera,Central,176 30 32.49005 E,38 13 43.36427 S
1908243,5762975,Tarawera,Central,176 31 16.59448 E,38 13 42.30140 S
1909495,5761912,Tarawera,Central,176 32 09.66178 E,38 14 15.17800 S
1901476,5758878,Tarawera,South-West,176 26 45.03948 E,38 16 03.24092 S
1903812,5760723,Tarawera,South-West,176 28 18.15099 E,38 15 00.65796 S
1903153,5761562,Tarawera,South-West,176 27 49.79602 E,38 14 34.28705 S
1911917,5780963,Haroharo,North-East,176 33 19.08222 E,38 03 55.24045 S
1912489,5783361,Haroharo,North-East,176 33 38.74393 E,38 02 36.87492 S
1914664,5781979,Haroharo,North-East,176 35 09.99100 E,38 03 18.91747 S
1915167,5782968,Haroharo,North-East,176 35 29.02374 E,38 02 46.26166 S
1912552,5784551,Haroharo,North-East,176 33 39.45507 E,38 01 58.26035 S
1907441,5778217,Haroharo,Central (Haroharo),176 30 19.98492 E,38 05 29.68282 S
1908409,5778265,Haroharo,Central (Haroharo),176 30 59.57637 E,38 05 26.94185 S
1904221,5773092,Haroharo,Central (Makatiti),176 28 15.89658 E,38 08 19.58238 S
1904991,5773568,Haroharo,Central (Makatiti),176 28 46.73771 E,38 08 03.23149 S
1904530,5774370,Haroharo,Central (Makatiti),176 28 26.60279 E,38 07 37.81810 S
1906499,5776013,Haroharo,Central (Makatiti),176 29 44.78822 E,38 06 42.21136 S
1903742,5776518,Haroharo,Central (Makatiti),176 27 51.00468 E,38 06 29.20750 S
1898236,5771251,Haroharo,South-West,176 24 13.24014 E,38 09 26.39866 S
1899434,5770743,Haroharo,South-West,176 25 03.14901 E,38 09 41.42306 S
1896224,5770269,Haroharo,South-West,176 22 52.17952 E,38 10 00.59109 S
1892997,5767552,kareka Embayment,Extra-Caldera,176 20 43.81622 E,38 11 32.39013 S
1893172,5767242,kareka Embayment,Extra-Caldera,176 20 51.45852 E,38 11 42.22605 S
1893354,5766821,kareka Embayment,Extra-Caldera,176 20 59.55362 E,38 11 55.64887 S
1893584,5766393,kareka Embayment,Extra-Caldera,176 21 09.63020 E,38 12 09.24187 S
